#Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality,pageranks,Authority,Hub
0,1,13,2,0.521739,0.541667,0,0,483,0,0,0.000052,0.000009,0,0
1,12,101,1,1,1,44,0,483,0.333333,22,0.000577,0.000069,0,0
1644,2,12,9,0.206957,0.210939,0,1,51,1,1,0.000104,0.000014,0,0
1472,7,74,9,0.224014,0.229474,170273.03887,1,51,0.190476,4,0.000365,0.000046,0,0
1645,14,117,8,0.260952,0.269185,258656.783467,1,51,0.197802,18,0.001042,0.000062,0.000007,0.000007
12954,1,7,10,0.155864,0.157771,0,1,51,0,0,0.000047,0.00001,0,0
9200,3,24,9,0.184642,0.187882,33775,1,51,0.333333,1,0.000151,0.000019,0,0
4991,6,42,8,0.248034,0.254274,0,1,51,1,15,0.000415,0.000019,0.000001,0.000001
175,14,144,8,0.248968,0.255815,3984.254295,1,51,0.428571,39,0.000901,0.000039,0.000002,0.000002
4992,14,117,8,0.248048,0.254392,270144,1,51,0.472527,43,0.00081,0.000041,0.000001,0.000001
4993,6,42,8,0.248034,0.254274,0,1,51,1,15,0.000415,0.000019,0.000001,0.000001
178,23,326,8,0.249856,0.256888,9276.552241,1,51,0.324111,82,0.001422,0.000061,0.000003,0.000003
177,137,1405,7,0.32948,0.344861,5255655.964555,1,51,0.064083,597,0.013259,0.00036,0.000329,0.000329
4994,18,154,8,0.2577,0.266147,125048.113487,1,51,0.235294,36,0.001387,0.000059,0.000007,0.000007
7401,13,137,9,0.202872,0.207298,303903,1,35,0.538462,42,0.000651,0.000043,0,0
3877,15,202,8,0.254462,0.263035,566003.097874,1,35,0.161905,17,0.000953,0.000059,0.000014,0.000014
7209,13,160,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7210,20,295,9,0.202374,0.206629,255.769033,1,51,0.642105,122,0.001094,0.000036,0,0
7211,22,363,9,0.202376,0.206659,366.199615,1,51,0.601732,139,0.001195,0.000039,0,0
7212,13,130,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7213,13,130,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7214,21,288,9,0.202375,0.206644,311.339396,1,51,0.633333,133,0.001146,0.000038,0,0
7215,13,156,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7216,14,192,9,0.202367,0.206541,8.571929,1,51,0.912088,83,0.000787,0.000026,0,0
7217,31,436,8,0.253066,0.260998,585297.310248,1,51,0.339785,158,0.001956,0.000062,0.000003,0.000003
7218,13,130,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7219,13,133,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7220,40,327,9,0.218197,0.224178,22951.952766,1,51,0.55,429,0.002495,0.000049,0,0
7221,13,130,9,0.202365,0.206526,0,1,51,1,78,0.000733,0.000024,0,0
7222,24,390,9,0.220852,0.227246,32820.110107,1,51,0.528986,146,0.001422,0.000042,0,0
2,3,55,8,0.280006,0.291232,0,1,6,1,3,0.00115,0.000009,0.000075,0.000075
3,3,48,8,0.280006,0.291232,0,1,6,1,3,0.00115,0.000009,0.000075,0.000075
4,14,168,8,0.314529,0.330943,3545.005871,1,6,0.604396,55,0.00787,0.000022,0.000621,0.000621
9858,6,60,9,0.228303,0.234185,0,1,0,1,15,0.000332,0.00002,0.000001,0.000001
9859,10,96,9,0.228309,0.234244,5.333333,1,0,0.644444,29,0.000545,0.00003,0.000002,0.000002
9860,6,60,9,0.228303,0.234185,0,1,0,1,15,0.000332,0.00002,0.000001,0.000001
9861,6,60,9,0.228303,0.234185,0,1,0,1,15,0.000332,0.00002,0.000001,0.000001
3387,48,531,8,0.295829,0.308914,868013.487649,1,0,0.125887,142,0.005879,0.000121,0.00025,0.00025
9862,6,60,9,0.228303,0.234185,0,1,0,1,15,0.000332,0.00002,0.000001,0.000001
9863,10,96,9,0.228309,0.234244,5.333333,1,0,0.644444,29,0.000545,0.00003,0.000002,0.000002
10280,4,40,8,0.245485,0.252134,0,1,6,1,6,0.000271,0.000018,0.000004,0.000004
10281,4,40,8,0.245485,0.252134,0,1,6,1,6,0.000271,0.000018,0.000004,0.000004
10282,4,40,8,0.245485,0.252134,0,1,6,1,6,0.000271,0.000018,0.000004,0.000004
10283,4,40,8,0.245485,0.252134,0,1,6,1,6,0.000271,0.000018,0.000004,0.000004
2341,67,660,7,0.325342,0.341526,2801694.848269,1,6,0.082768,183,0.016373,0.00018,0.000951,0.000951
697,605,7743,7,0.388887,0.420542,11422574.275113,1,6,0.080319,14675,0.224364,0.000671,0.017177,0.017177
