#Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,pageranks
0,,,1,13,2,0.521739,0.541667,0,133,0,0,0.000068,0.000015
1,,,12,100,1,1,1,0,133,0.333333,22,0.000745,0.000092
1472,,,5,60,10,0.167009,0.170248,0.000321,368,0.2,2,0.000305,0.000061
1645,,,8,73,9,0.200477,0.206206,0.001733,368,0.142857,4,0.000588,0.000054
12954,,,1,7,11,0.134865,0.136946,0,368,0,0,0.000061,0.000011
9200,,,3,24,10,0.155888,0.159232,0.000064,368,0.333333,1,0.000196,0.000023
4991,,,6,42,10,0.202809,0.208867,0,33,1,15,0.00049,0.00002
175,,,13,137,10,0.202913,0.209229,0.000006,33,0.448718,35,0.000967,0.000049
4992,,,14,116,10,0.202822,0.20902,0.000514,33,0.472527,43,0.001004,0.000049
4993,,,6,42,10,0.202809,0.208867,0,33,1,15,0.00049,0.00002
178,,,22,316,10,0.203136,0.20994,0.000013,33,0.324675,75,0.001607,0.000107
177,,,80,995,9,0.25425,0.26703,0.004775,33,0.075949,240,0.006443,0.000369
4994,,,11,109,10,0.221882,0.230917,0.000211,33,0.327273,18,0.000984,0.000057
7401,,,13,137,12,0.159087,0.162021,0.000578,14,0.538462,42,0.000847,0.000057
3877,,,11,175,11,0.189154,0.193728,0.000903,14,0.236364,13,0.000683,0.000086
7209,,,13,160,11,0.135843,0.138475,0,368,1,78,0.000958,0.000034
7210,,,18,280,11,0.135846,0.13857,0.000067,368,0.666667,102,0.001289,0.000057
7211,,,22,358,11,0.135849,0.138646,0.000132,368,0.580087,134,0.001556,0.000072
7212,,,13,130,11,0.135843,0.138475,0,368,1,78,0.000958,0.000029
7213,,,13,130,11,0.135843,0.138475,0,368,1,78,0.000958,0.000029
7214,,,21,282,11,0.135848,0.138627,0.000116,368,0.619048,130,0.001494,0.000058
7215,,,13,156,11,0.135843,0.138475,0,368,1,78,0.000958,0.000034
